item_no,condition,advTYPE,model,surprisal_region2,surprisal_region3,surprisal_critical_token,surprisal_region2_PLL_word_l2r,surprisal_region3_PLL_word_l2r,surprisal_critical_token_PLL_word_l2r
33,EN_Word_order,frequency,distilbert,1.8109230399131775,5.291259735822678,0.7135736346244812,1.8109230399131775,5.291259735822678,0.7135736346244812
33,FR_Word_order,frequency,distilbert,9.421937942504883,4.935840263962746,6.930849075317383,9.421937942504883,4.935840263962746,6.930849075317383
34,EN_Word_order,frequency,distilbert,8.194166954606771,6.390246242284775,7.380889415740967,14.211044546216726,6.390246242284775,7.380889415740967
34,FR_Word_order,frequency,distilbert,7.355905175209045,7.088857144117355,6.522769451141357,15.653109908103943,7.088857144117355,6.522769451141357
35,EN_Word_order,frequency,distilbert,4.824907921254635,5.462840408086777,4.714027404785156,4.824907921254635,5.462840408086777,4.714027404785156
35,FR_Word_order,frequency,distilbert,8.487888097763062,5.078610315918922,7.463068962097168,8.487888097763062,5.078610315918922,7.463068962097168
36,EN_Word_order,frequency,distilbert,4.246537923812866,15.85474717617035,2.684445858001709,4.246537923812866,15.85474717617035,2.684445858001709
36,FR_Word_order,frequency,distilbert,9.725043773651123,15.9201340675354,6.607597351074219,9.725043773651123,15.9201340675354,6.607597351074219
37,EN_Word_order,frequency,distilbert,2.073703706264496,8.2854585647583,1.3875609636306763,2.073703706264496,8.2854585647583,1.3875609636306763
37,FR_Word_order,frequency,distilbert,6.6317362785339355,8.118849396705627,5.550549507141113,6.6317362785339355,8.118849396705627,5.550549507141113
38,EN_Word_order,frequency,distilbert,7.001664638519287,4.091875164303929,2.246890068054199,7.001664638519287,14.407713829074055,2.246890068054199
38,FR_Word_order,frequency,distilbert,19.262229919433594,5.397280460223556,10.15562629699707,19.262229919433594,15.180438732728362,10.15562629699707
39,EN_Word_order,frequency,distilbert,1.0468974933028221,5.20462972484529,0.9633703827857971,1.0468974933028221,5.20462972484529,0.9633703827857971
39,FR_Word_order,frequency,distilbert,7.185141026973724,10.141274273395538,6.5213494300842285,7.185141026973724,10.141274273395538,6.5213494300842285
40,EN_Word_order,frequency,distilbert,1.2308336347341537,3.1723196506500244,1.0304368734359741,1.2308336347341537,3.1723196506500244,1.0304368734359741
40,FR_Word_order,frequency,distilbert,8.169231414794922,4.553529858589172,7.599125862121582,8.169231414794922,4.553529858589172,7.599125862121582
41,EN_Word_order,frequency,distilbert,3.914907455444336,11.839586853981018,2.2108707427978516,3.914907455444336,11.839586853981018,2.2108707427978516
41,FR_Word_order,frequency,distilbert,7.602506637573242,13.816280364990234,4.965804576873779,7.602506637573242,13.816280364990234,4.965804576873779
42,EN_Word_order,frequency,distilbert,3.393983840942383,6.400257349014282,1.57712721824646,3.393983840942383,6.400257349014282,1.57712721824646
42,FR_Word_order,frequency,distilbert,8.676334857940674,4.483206272125244,6.6563262939453125,8.676334857940674,4.483206272125244,6.6563262939453125
43,EN_Word_order,manner,distilbert,2.5590946078300476,1.6420592926442623,2.1065945625305176,2.5590946078300476,1.6420592926442623,2.1065945625305176
43,FR_Word_order,manner,distilbert,5.9540441036224365,1.709946408867836,4.873910427093506,5.9540441036224365,1.709946408867836,4.873910427093506
