item_no,condition,advTYPE,model,surprisal_region2,surprisal_region3,surprisal_critical_token
33,EN_Word_order,frequency,mgpt,9.127570990473032,8.930480003356934,3.2029309272766113
33,FR_Word_order,frequency,mgpt,15.371180891990662,8.564046382904053,8.796839714050293
34,EN_Word_order,frequency,mgpt,17.09468765393831,13.75270390510559,7.8446879386901855
34,FR_Word_order,frequency,mgpt,20.06392483599484,13.824580669403076,8.540024757385254
35,EN_Word_order,frequency,mgpt,8.507984667550772,4.960703648626804,6.911054611206055
35,FR_Word_order,frequency,mgpt,13.29550052061677,6.730845972895622,8.057381629943848
36,EN_Word_order,frequency,mgpt,14.510639190673828,12.90708577632904,8.521394729614258
36,FR_Word_order,frequency,mgpt,16.521477699279785,14.707267761230469,7.851374626159668
37,EN_Word_order,frequency,mgpt,8.99976921081543,5.268082893220708,5.574734210968018
37,FR_Word_order,frequency,mgpt,9.896279335021973,9.338113068253733,2.996033191680908
38,EN_Word_order,frequency,mgpt,14.017643928527832,11.31468172185123,8.228791236877441
38,FR_Word_order,frequency,mgpt,19.086183547973633,12.408083321060985,8.834574699401855
39,EN_Word_order,frequency,mgpt,10.54830813407898,8.184128880500793,7.90029764175415
39,FR_Word_order,frequency,mgpt,13.288139820098877,11.955734014511108,8.17683219909668
40,EN_Word_order,frequency,mgpt,11.293171418714337,8.140995025634766,6.456787109375
40,FR_Word_order,frequency,mgpt,17.27096242038533,8.71828842163086,10.61491870880127
41,EN_Word_order,frequency,mgpt,7.34220552444458,8.785150647163391,4.219132423400879
41,FR_Word_order,frequency,mgpt,13.69611930847168,8.793728113174438,9.553475379943848
42,EN_Word_order,frequency,mgpt,9.312479019165039,9.264549598097801,4.231200218200684
42,FR_Word_order,frequency,mgpt,16.91478729248047,7.152416307479143,9.548632621765137
43,EN_Word_order,manner,mgpt,13.36877959780395,7.825407952070236,9.250062404200435
43,FR_Word_order,manner,mgpt,17.518351679551415,8.151858158409595,10.653493529069237
44,EN_Word_order,manner,mgpt,9.815218925476074,11.193556904792786,5.471128463745117
44,FR_Word_order,manner,mgpt,16.865153312683105,10.55251944065094,11.399731636047363
45,EN_Word_order,manner,mgpt,11.750354290008545,18.346902925055474,8.542530536651611
45,FR_Word_order,manner,mgpt,17.101297974586487,19.36607228498906,9.65368902683258
46,EN_Word_order,manner,mgpt,15.767718315124512,6.633846759796143,9.061999320983887
46,FR_Word_order,manner,mgpt,16.531935214996338,6.944811105728149,7.122582912445068
47,EN_Word_order,manner,mgpt,19.07368691638112,17.245448350906372,9.890923161059618
47,FR_Word_order,manner,mgpt,27.459786523133516,17.439175724983215,14.489005725830793
48,EN_Word_order,manner,mgpt,16.177078236360103,6.320296049118042,13.806487072724849
48,FR_Word_order,manner,mgpt,16.030184349045157,7.84705376625061,10.792399486526847
49,EN_Word_order,manner,mgpt,12.911157045513391,12.21186876296997,9.365980301052332
49,FR_Word_order,manner,mgpt,17.26936583092902,12.512195110321045,10.604526086361147
50,EN_Word_order,manner,mgpt,14.642962980084121,9.975449174642563,11.751265096478164
50,FR_Word_order,manner,mgpt,20.33029794692993,11.193914666771889,10.78011178970337
51,EN_Word_order,manner,mgpt,18.56756432261318,7.305407208390534,13.40653168875724
51,FR_Word_order,manner,mgpt,19.06765047321096,9.984231097623706,10.100794030819088
52,EN_Word_order,manner,mgpt,15.38944524526596,12.834565849567298,10.610980927944183
52,FR_Word_order,manner,mgpt,20.284563748165965,13.017345473577734,10.869094578549266
53,EN_Word_order,manner,mgpt,16.270573616027832,8.709319710731506,10.960870742797852
53,FR_Word_order,manner,mgpt,18.938437938690186,8.363258123397827,7.172816753387451
54,EN_Word_order,manner,mgpt,13.395559310913086,8.385171353816986,6.390444755554199
54,FR_Word_order,manner,mgpt,19.061805725097656,11.296613335609436,9.739724159240723
55,EN_Word_order,manner,mgpt,15.232342129573226,15.202389057725668,8.837133407592773
55,FR_Word_order,manner,mgpt,17.295912473462522,16.889288052916527,7.053774356842041
56,EN_Word_order,manner,mgpt,15.709299758076668,15.13737025577575,11.344811156392097
56,FR_Word_order,manner,mgpt,18.88366937637329,15.952715555904433,13.019593238830566
57,EN_Word_order,manner,mgpt,13.689531862735748,6.486148774623871,12.666255176067352
57,FR_Word_order,manner,mgpt,21.93591344356537,7.174284815788269,12.763643622398376
58,EN_Word_order,manner,mgpt,16.47882831096649,9.06776311993599,11.151055693626404
58,FR_Word_order,manner,mgpt,14.704906165599823,14.537242710590363,7.472855269908905
59,EN_Word_order,manner,mgpt,14.91291332244873,12.508681774139404,10.121807098388672
59,FR_Word_order,manner,mgpt,19.75674057006836,14.883618354797363,9.298627853393555
60,EN_Word_order,manner,mgpt,15.999178879254032,3.2333459854125977,9.899400280148257
60,FR_Word_order,manner,mgpt,18.091097652213648,4.182415962219238,8.779209944652393
61,EN_Word_order,manner,mgpt,16.446447557769716,18.094626247882843,12.32354039605707
61,FR_Word_order,manner,mgpt,15.610794976353645,18.44110369682312,4.8518161326646805
62,EN_Word_order,manner,mgpt,13.998344734311104,4.0892776399850845,12.630368068814278
62,FR_Word_order,manner,mgpt,10.463161110346846,4.268398188054562,3.6534773106031935
63,EN_Word_order,frequency,mgpt,16.36905151908286,3.354672431945801,12.751673522638157
63,FR_Word_order,frequency,mgpt,24.260725274914876,4.3393741846084595,15.889179483288899
64,EN_Word_order,frequency,mgpt,8.413841939531267,7.7697948813438416,5.733549118041992
64,FR_Word_order,frequency,mgpt,15.505649644881487,7.990561470389366,9.102527618408203
65,EN_Word_order,frequency,mgpt,15.683251574635506,3.8170745372772217,11.35607624053955
65,FR_Word_order,frequency,mgpt,14.260739386081696,4.572652101516724,6.328734397888184
66,EN_Word_order,frequency,mgpt,14.981745600700378,9.506815910339355,13.048212051391602
66,FR_Word_order,frequency,mgpt,13.442271709442139,15.124610424041748,5.835136413574219
67,EN_Word_order,frequency,mgpt,19.39151096343994,2.554944545030594,14.065339088439941
67,FR_Word_order,frequency,mgpt,14.980298519134521,7.018905699253082,6.396814823150635
68,EN_Word_order,frequency,mgpt,16.93089485168457,6.035484433174133,12.686737060546875
68,FR_Word_order,frequency,mgpt,18.945220947265625,6.2624192237854,7.025535583496094
69,EN_Word_order,frequency,mgpt,15.662851944565773,5.034307956695557,9.592496871948242
69,FR_Word_order,frequency,mgpt,20.281998723745346,7.191139817237854,10.81567668914795
70,EN_Word_order,frequency,mgpt,16.062650755047798,6.686898171901703,11.2891009375453
70,FR_Word_order,frequency,mgpt,20.280088314786553,8.615881502628326,8.918807173147798
71,EN_Word_order,frequency,mgpt,23.070876322686672,7.405364632606506,15.104101777076721
71,FR_Word_order,frequency,mgpt,22.595970451831818,10.051958322525024,11.40972650051117
72,EN_Word_order,frequency,mgpt,15.200800240039825,16.29105716943741,12.013304769992828
72,FR_Word_order,frequency,mgpt,18.727480217814445,18.36319375038147,11.81487362086773
73,EN_Word_order,frequency,mgpt,14.391548663377762,8.048323325812817,8.84848403930664
73,FR_Word_order,frequency,mgpt,21.072660505771637,11.053690701723099,11.000635147094727
74,EN_Word_order,frequency,mgpt,19.63246900588274,4.063739210367203,12.7677496150136
74,FR_Word_order,frequency,mgpt,23.304447323083878,8.628376483917236,14.311082988977432
75,EN_Word_order,frequency,mgpt,24.133535489439964,3.7353562712669373,19.067773461341858
75,FR_Word_order,frequency,mgpt,30.506836243905127,4.487609684467316,16.43581182602793
76,EN_Word_order,frequency,mgpt,25.018949056378915,6.794206992723048,17.122764135114267
76,FR_Word_order,frequency,mgpt,25.852253375807777,8.208098462317139,16.242473541060463
77,EN_Word_order,frequency,mgpt,10.662670314195566,3.3609954118728638,7.082128524780273
77,FR_Word_order,frequency,mgpt,13.161760415881872,5.52470338344574,5.868058204650879
78,EN_Word_order,frequency,mgpt,12.225774505874142,7.495519161224365,8.568290710449219
78,FR_Word_order,frequency,mgpt,19.533755837008357,9.374257326126099,9.312877655029297
79,EN_Word_order,frequency,mgpt,19.422245144844055,10.638805367052555,13.80093252658844
79,FR_Word_order,frequency,mgpt,21.231601402163506,10.357734680175781,14.641759559512138
80,EN_Word_order,frequency,mgpt,18.988837708951905,6.218127250671387,13.562919970834628
80,FR_Word_order,frequency,mgpt,20.58226900594309,8.877157211303711,12.657945029903203
81,EN_Word_order,frequency,mgpt,14.892522811889648,2.7220247983932495,7.427586078643799
81,FR_Word_order,frequency,mgpt,16.724607467651367,3.983586549758911,8.095130920410156
82,EN_Word_order,frequency,mgpt,24.317803382873535,8.741040527820587,17.52850914001465
82,FR_Word_order,frequency,mgpt,24.289376258850098,8.231280505657196,17.39092254638672
83,EN_Word_order,manner,mgpt,10.990804320201278,7.541479527950287,7.580634957179427
83,FR_Word_order,manner,mgpt,12.293988992460072,10.823460698127747,7.1925261514261365
84,EN_Word_order,manner,mgpt,18.153586061671376,3.0892679990502074,8.819651007652283
84,FR_Word_order,manner,mgpt,21.838994620367885,4.5230863995384425,12.869956351816654
85,EN_Word_order,manner,mgpt,18.930315238889307,6.478426456451416,11.78871720796451
85,FR_Word_order,manner,mgpt,22.42698782673324,9.432987928390503,13.033045411018975
86,EN_Word_order,manner,mgpt,17.627990628476255,4.888244718313217,10.830799008603208
86,FR_Word_order,manner,mgpt,20.044110874063335,9.770602703094482,12.625757316476665
87,EN_Word_order,manner,mgpt,19.713022904470563,11.515407383441925,14.268720822408795
87,FR_Word_order,manner,mgpt,21.43296907353215,13.119494199752808,12.041970233200118
88,EN_Word_order,manner,mgpt,14.46404504776001,13.871047496795654,8.451615333557129
88,FR_Word_order,manner,mgpt,12.380146980285645,14.88495123386383,6.464202880859375
89,EN_Word_order,manner,mgpt,13.314233765006065,13.150408744812012,9.092519745230675
89,FR_Word_order,manner,mgpt,18.45097091794014,13.436280965805054,10.105578690767288
90,EN_Word_order,manner,mgpt,15.778700701892376,10.365015745162964,11.01030706986785
90,FR_Word_order,manner,mgpt,20.030663201061543,10.984246492385864,11.691787538526114
91,EN_Word_order,manner,mgpt,18.387913163751364,16.793273628223687,10.851149018853903
91,FR_Word_order,manner,mgpt,18.98130475357175,17.818479135632515,8.824717152863741
92,EN_Word_order,manner,mgpt,16.5595673143398,9.76854681968689,10.67837415332906
